2024-06-12 11:47:17.294 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.jboss.logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2024-06-12 11:47:17.333 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.integrator.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.boot.beanvalidation.BeanValidationIntegrator].
2024-06-12 11:47:17.342 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.integrator.internal.IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2024-06-12 11:47:17.461 [RMI TCP Connection(2)-127.0.0.1] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2024-06-12 11:47:17.465 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.cfg.Environment - HHH000206: 'hibernate.properties' not found
2024-06-12 11:47:17.598 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.boot.jaxb.internal.stax.LocalXmlResourceResolver - Checking public/system identifiers `-//Hibernate/Hibernate Configuration DTD//EN`/`http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd` as DTD references
2024-06-12 11:47:17.611 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.boot.cfgxml.internal.JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2024-06-12 11:47:18.039 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.cfg.Configuration - Building session factory using internal StandardServiceRegistryBuilder
2024-06-12 11:47:18.055 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.cfg.Configuration - Building session factory using provided StandardServiceRegistry
2024-06-12 11:47:18.084 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Ignoring CDI for resolving IdentifierGenerator instances as extended or delayed CDI support was enabled
2024-06-12 11:47:18.097 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
2024-06-12 11:47:18.099 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
2024-06-12 11:47:18.101 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
2024-06-12 11:47:18.101 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
2024-06-12 11:47:18.102 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
2024-06-12 11:47:18.105 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
2024-06-12 11:47:18.106 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
2024-06-12 11:47:18.109 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2024-06-12 11:47:18.111 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
2024-06-12 11:47:18.112 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
2024-06-12 11:47:18.113 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
2024-06-12 11:47:18.115 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.orm.idgen.factory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
2024-06-12 11:47:18.143 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.cache.internal.RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2024-06-12 11:47:18.145 [RMI TCP Connection(2)-127.0.0.1] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-06-12 11:47:18.368 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4169cda6
2024-06-12 11:47:18.369 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4169cda6
2024-06-12 11:47:18.369 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@4169cda6
2024-06-12 11:47:18.370 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@51a3473c
2024-06-12 11:47:18.370 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration org.hibernate.type.NumericBooleanConverter -> org.hibernate.type.BasicTypeReference@51a3473c
2024-06-12 11:47:18.370 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.BasicTypeReference@74d44c90
2024-06-12 11:47:18.370 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration org.hibernate.type.TrueFalseConverter -> org.hibernate.type.BasicTypeReference@74d44c90
2024-06-12 11:47:18.371 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.BasicTypeReference@69fcdb1
2024-06-12 11:47:18.371 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration org.hibernate.type.YesNoConverter -> org.hibernate.type.BasicTypeReference@69fcdb1
2024-06-12 11:47:18.371 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.BasicTypeReference@9942439
2024-06-12 11:47:18.372 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.BasicTypeReference@9942439
2024-06-12 11:47:18.372 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.BasicTypeReference@9942439
2024-06-12 11:47:18.372 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BasicTypeReference@42450890
2024-06-12 11:47:18.372 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BasicTypeReference@42450890
2024-06-12 11:47:18.372 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BasicTypeReference@42450890
2024-06-12 11:47:18.373 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration binary_wrapper -> org.hibernate.type.BasicTypeReference@14236c84
2024-06-12 11:47:18.373 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.BasicTypeReference@14236c84
2024-06-12 11:47:18.373 [RMI TCP Connection(2)-127.0.0.1] DEBUG org.hibernate.type.BasicTypeRegistry - Adding type registration image -> org.hibernate.type.BasicTypeReference@6ca9d9f4
